"Statistic Label","Day","NACE Sector","UNIT","VALUE"
"Number of Employments","2023 April 17","Wholesale and Retail Trade (G)","Number","3274"
"Number of Employments","2023 April 17","Accommodation & Food Service Activities (I)","Number","7440"
"Number of Employments","2023 April 17","All NACE Economic Sectors","Number","20139"
"Number of Employments","2023 May 15","Financial and insurance activities (K)","Number","163"
"Number of Employments","2023 May 15","Transportation and Storage (H)","Number","304"
"Number of Employments","2023 May 15","Information and communication (J)","Number","351"
"Number of Employments","2023 May 15","Public Administration and Defence (O)","Number","212"
"Number of Employments","2023 May 15","Education (P)","Number","471"
"Number of Employments","2023 May 15","Human Health and Social Work Activities (Q)","Number","508"
"Number of Employments","2023 May 15","Real estate activities (L)","Number","421"
"Number of Employments","2023 May 15","Professional, Scientific and Technical Activities (M)","Number","589"
"Number of Employments","2023 May 15","Agriculture, Forestry and Fishing (A)","Number","636"
"Number of Employments","2023 May 15","Construction (F)","Number","1088"
"Number of Employments","2023 May 15","Administrative and Support Service Activities (N)","Number","1787"
"Number of Employments","2023 May 15","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","1226"
"Number of Employments","2023 May 15","Manufacturing (C)","Number","2369"
"Number of Employments","2023 May 15","Wholesale and Retail Trade (G)","Number","3535"
"Number of Employments","2023 May 15","Accommodation & Food Service Activities (I)","Number","8060"
"Number of Employments","2023 May 15","All NACE Economic Sectors","Number","21720"
"Number of Employments","2023 June 12","Financial and insurance activities (K)","Number","177"
"Number of Employments","2023 June 12","Transportation and Storage (H)","Number","329"
"Number of Employments","2023 June 12","Information and communication (J)","Number","363"
"Number of Employments","2023 June 12","Public Administration and Defence (O)","Number","226"
"Number of Employments","2023 June 12","Education (P)","Number","500"
"Number of Employments","2023 June 12","Human Health and Social Work Activities (Q)","Number","553"
"Number of Employments","2023 June 12","Real estate activities (L)","Number","457"
"Number of Employments","2023 June 12","Professional, Scientific and Technical Activities (M)","Number","606"
"Number of Employments","2023 June 12","Agriculture, Forestry and Fishing (A)","Number","681"
"Number of Employments","2023 June 12","Construction (F)","Number","1199"
"Number of Employments","2023 June 12","Administrative and Support Service Activities (N)","Number","1932"
"Number of Employments","2023 June 12","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","1358"
"Number of Employments","2023 June 12","Manufacturing (C)","Number","2520"
"Number of Employments","2023 June 12","Wholesale and Retail Trade (G)","Number","3775"
"Number of Employments","2023 June 12","Accommodation & Food Service Activities (I)","Number","8694"
"Number of Employments","2023 June 12","All NACE Economic Sectors","Number","23370"
"Number of Employments","2023 July 10","Financial and insurance activities (K)","Number","182"
"Number of Employments","2023 July 10","Transportation and Storage (H)","Number","352"
"Number of Employments","2023 July 10","Information and communication (J)","Number","382"
"Number of Employments","2023 July 10","Public Administration and Defence (O)","Number","253"
"Number of Employments","2023 July 10","Education (P)","Number","522"
"Number of Employments","2023 July 10","Human Health and Social Work Activities (Q)","Number","613"
"Number of Employments","2023 July 10","Real estate activities (L)","Number","485"
"Number of Employments","2023 July 10","Professional, Scientific and Technical Activities (M)","Number","631"
"Number of Employments","2023 July 10","Agriculture, Forestry and Fishing (A)","Number","721"
"Number of Employments","2023 July 10","Construction (F)","Number","1314"
"Number of Employments","2023 July 10","Administrative and Support Service Activities (N)","Number","2067"
"Number of Employments","2023 July 10","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","1450"
"Number of Employments","2023 July 10","Manufacturing (C)","Number","2688"
"Number of Employments","2023 July 10","Wholesale and Retail Trade (G)","Number","4010"
"Number of Employments","2023 July 10","Accommodation & Food Service Activities (I)","Number","9266"
"Number of Employments","2023 July 10","All NACE Economic Sectors","Number","24936"
"Number of Employments","2023 August 15","Financial and insurance activities (K)","Number","197"
"Number of Employments","2023 August 15","Transportation and Storage (H)","Number","388"
"Number of Employments","2023 August 15","Information and communication (J)","Number","398"
"Number of Employments","2023 August 15","Public Administration and Defence (O)","Number","290"
"Number of Employments","2023 August 15","Education (P)","Number","544"
"Number of Employments","2023 August 15","Human Health and Social Work Activities (Q)","Number","692"
"Number of Employments","2023 August 15","Real estate activities (L)","Number","537"
"Number of Employments","2023 August 15","Professional, Scientific and Technical Activities (M)","Number","666"
"Number of Employments","2023 August 15","Agriculture, Forestry and Fishing (A)","Number","741"
"Number of Employments","2023 August 15","Construction (F)","Number","1437"
"Number of Employments","2023 August 15","Administrative and Support Service Activities (N)","Number","2239"
"Number of Employments","2023 August 15","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","1582"
"Number of Employments","2023 August 15","Manufacturing (C)","Number","2857"
"Number of Employments","2023 August 15","Wholesale and Retail Trade (G)","Number","4276"
"Number of Employments","2023 August 15","Accommodation & Food Service Activities (I)","Number","9773"
"Number of Employments","2023 August 15","All NACE Economic Sectors","Number","26617"
"Number of Employments","2023 September 12","Financial and insurance activities (K)","Number","205"
"Number of Employments","2023 September 12","Transportation and Storage (H)","Number","413"
"Number of Employments","2023 September 12","Information and communication (J)","Number","417"
"Number of Employments","2023 September 12","Public Administration and Defence (O)","Number","340"
"Number of Employments","2023 September 12","Education (P)","Number","571"
"Number of Employments","2023 September 12","Human Health and Social Work Activities (Q)","Number","756"
"Number of Employments","2023 September 12","Real estate activities (L)","Number","564"
"Number of Employments","2023 September 12","Professional, Scientific and Technical Activities (M)","Number","696"
"Number of Employments","2023 September 12","Agriculture, Forestry and Fishing (A)","Number","776"
"Number of Employments","2023 September 12","Construction (F)","Number","1543"
"Number of Employments","2023 September 12","Administrative and Support Service Activities (N)","Number","2372"
"Number of Employments","2023 September 12","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","1735"
"Number of Employments","2023 September 12","Manufacturing (C)","Number","3070"
"Number of Employments","2023 September 12","Wholesale and Retail Trade (G)","Number","4520"
"Number of Employments","2023 September 12","Accommodation & Food Service Activities (I)","Number","10208"
"Number of Employments","2023 September 12","All NACE Economic Sectors","Number","28186"
"Number of Employments","2023 October 10","Financial and insurance activities (K)","Number","209"
"Number of Employments","2023 October 10","Transportation and Storage (H)","Number","434"
"Number of Employments","2023 October 10","Information and communication (J)","Number","443"
"Number of Employments","2023 October 10","Public Administration and Defence (O)","Number","378"
"Number of Employments","2023 October 10","Education (P)","Number","612"
"Number of Employments","2023 October 10","Human Health and Social Work Activities (Q)","Number","838"
"Number of Employments","2023 October 10","Real estate activities (L)","Number","593"
"Number of Employments","2023 October 10","Professional, Scientific and Technical Activities (M)","Number","746"
"Number of Employments","2023 October 10","Agriculture, Forestry and Fishing (A)","Number","808"
"Number of Employments","2023 October 10","Construction (F)","Number","1661"
"Number of Employments","2023 October 10","Administrative and Support Service Activities (N)","Number","2561"
"Number of Employments","2023 October 10","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","1824"
"Number of Employments","2023 October 10","Manufacturing (C)","Number","3293"
"Number of Employments","2023 October 10","Wholesale and Retail Trade (G)","Number","4816"
"Number of Employments","2023 October 10","Accommodation & Food Service Activities (I)","Number","10710"
"Number of Employments","2023 October 10","All NACE Economic Sectors","Number","29926"
"Number of Employments","2023 November 13","Financial and insurance activities (K)","Number","217"
"Number of Employments","2023 November 13","Transportation and Storage (H)","Number","473"
"Number of Employments","2023 November 13","Information and communication (J)","Number","471"
"Number of Employments","2023 November 13","Public Administration and Defence (O)","Number","419"
"Number of Employments","2023 November 13","Education (P)","Number","651"
"Number of Employments","2023 November 13","Human Health and Social Work Activities (Q)","Number","919"
"Number of Employments","2023 November 13","Real estate activities (L)","Number","612"
"Number of Employments","2023 November 13","Professional, Scientific and Technical Activities (M)","Number","812"
"Number of Employments","2023 November 13","Agriculture, Forestry and Fishing (A)","Number","835"
"Number of Employments","2023 November 13","Construction (F)","Number","1758"
"Number of Employments","2023 November 13","Administrative and Support Service Activities (N)","Number","2745"
"Number of Employments","2023 November 13","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","1991"
"Number of Employments","2023 November 13","Manufacturing (C)","Number","3539"
"Number of Employments","2023 November 13","Wholesale and Retail Trade (G)","Number","5144"
"Number of Employments","2023 November 13","Accommodation & Food Service Activities (I)","Number","11114"
"Number of Employments","2023 November 13","All NACE Economic Sectors","Number","31700"
"Number of Employments","2023 December 12","Financial and insurance activities (K)","Number","228"
"Number of Employments","2023 December 12","Transportation and Storage (H)","Number","523"
"Number of Employments","2023 December 12","Information and communication (J)","Number","484"
"Number of Employments","2023 December 12","Public Administration and Defence (O)","Number","438"
"Number of Employments","2023 December 12","Education (P)","Number","712"
"Number of Employments","2023 December 12","Human Health and Social Work Activities (Q)","Number","984"
"Number of Employments","2023 December 12","Real estate activities (L)","Number","636"
"Number of Employments","2023 December 12","Professional, Scientific and Technical Activities (M)","Number","849"
"Number of Employments","2023 December 12","Agriculture, Forestry and Fishing (A)","Number","890"
"Number of Employments","2023 December 12","Construction (F)","Number","1856"
"Number of Employments","2023 December 12","Administrative and Support Service Activities (N)","Number","2928"
"Number of Employments","2023 December 12","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","2172"
"Number of Employments","2023 December 12","Manufacturing (C)","Number","3770"
"Number of Employments","2023 December 12","Wholesale and Retail Trade (G)","Number","5465"
"Number of Employments","2023 December 12","Accommodation & Food Service Activities (I)","Number","11418"
"Number of Employments","2023 December 12","All NACE Economic Sectors","Number","33353"
"Number of Employments","2024 January 09","Financial and insurance activities (K)","Number","232"
"Number of Employments","2024 January 09","Transportation and Storage (H)","Number","534"
"Number of Employments","2024 January 09","Information and communication (J)","Number","489"
"Number of Employments","2024 January 09","Public Administration and Defence (O)","Number","449"
"Number of Employments","2024 January 09","Education (P)","Number","731"
"Number of Employments","2024 January 09","Human Health and Social Work Activities (Q)","Number","1027"
"Number of Employments","2024 January 09","Real estate activities (L)","Number","656"
"Number of Employments","2024 January 09","Professional, Scientific and Technical Activities (M)","Number","869"
"Number of Employments","2024 January 09","Agriculture, Forestry and Fishing (A)","Number","910"
"Number of Employments","2024 January 09","Construction (F)","Number","1884"
"Number of Employments","2024 January 09","Administrative and Support Service Activities (N)","Number","3030"
"Number of Employments","2024 January 09","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","2247"
"Number of Employments","2024 January 09","Manufacturing (C)","Number","3845"
"Number of Employments","2024 January 09","Wholesale and Retail Trade (G)","Number","5605"
"Number of Employments","2024 January 09","Accommodation & Food Service Activities (I)","Number","11589"
"Number of Employments","2024 January 09","All NACE Economic Sectors","Number","34097"
"Number of Employments","2024 February 12","Financial and insurance activities (K)","Number","241"
"Number of Employments","2024 February 12","Transportation and Storage (H)","Number","559"
"Number of Employments","2024 February 12","Information and communication (J)","Number","501"
"Number of Employments","2024 February 12","Public Administration and Defence (O)","Number","484"
"Number of Employments","2024 February 12","Education (P)","Number","777"
"Number of Employments","2024 February 12","Human Health and Social Work Activities (Q)","Number","1125"
"Number of Employments","2024 February 12","Real estate activities (L)","Number","670"
"Number of Employments","2024 February 12","Professional, Scientific and Technical Activities (M)","Number","896"
"Number of Employments","2024 February 12","Agriculture, Forestry and Fishing (A)","Number","937"
"Number of Employments","2024 February 12","Construction (F)","Number","1991"
"Number of Employments","2024 February 12","Administrative and Support Service Activities (N)","Number","3179"
"Number of Employments","2024 February 12","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","2406"
"Number of Employments","2024 February 12","Manufacturing (C)","Number","4103"
"Number of Employments","2024 February 12","Wholesale and Retail Trade (G)","Number","5841"
"Number of Employments","2024 February 12","Accommodation & Food Service Activities (I)","Number","11823"
"Number of Employments","2024 February 12","All NACE Economic Sectors","Number","35533"
"Number of Employments","2024 March 11","Financial and insurance activities (K)","Number","253"
"Number of Employments","2024 March 11","Transportation and Storage (H)","Number","577"
"Number of Employments","2024 March 11","Information and communication (J)","Number","523"
"Number of Employments","2024 March 11","Public Administration and Defence (O)","Number","507"
"Number of Employments","2024 March 11","Education (P)","Number","798"
"Number of Employments","2024 March 11","Human Health and Social Work Activities (Q)","Number","1222"
"Number of Employments","2024 March 11","Real estate activities (L)","Number","699"
"Number of Employments","2024 March 11","Professional, Scientific and Technical Activities (M)","Number","935"
"Number of Employments","2024 March 11","Agriculture, Forestry and Fishing (A)","Number","960"
"Number of Employments","2024 March 11","Construction (F)","Number","2099"
"Number of Employments","2024 March 11","Administrative and Support Service Activities (N)","Number","3348"
"Number of Employments","2024 March 11","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","2459"
"Number of Employments","2024 March 11","Manufacturing (C)","Number","4269"
"Number of Employments","2024 March 11","Wholesale and Retail Trade (G)","Number","6088"
"Number of Employments","2024 March 11","Accommodation & Food Service Activities (I)","Number","12153"
"Number of Employments","2024 March 11","All NACE Economic Sectors","Number","36890"
"Number of Employments","2024 April 08","Financial and insurance activities (K)","Number","265"
"Number of Employments","2024 April 08","Transportation and Storage (H)","Number","603"
"Number of Employments","2024 April 08","Information and communication (J)","Number","536"
"Number of Employments","2024 April 08","Public Administration and Defence (O)","Number","533"
"Number of Employments","2024 April 08","Education (P)","Number","822"
"Number of Employments","2024 April 08","Human Health and Social Work Activities (Q)","Number","1304"
"Number of Employments","2024 April 08","Real estate activities (L)","Number","728"
"Number of Employments","2024 April 08","Professional, Scientific and Technical Activities (M)","Number","989"
"Number of Employments","2024 April 08","Agriculture, Forestry and Fishing (A)","Number","994"
"Number of Employments","2024 April 08","Construction (F)","Number","2180"
"Number of Employments","2024 April 08","Administrative and Support Service Activities (N)","Number","3476"
"Number of Employments","2024 April 08","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","2618"
"Number of Employments","2024 April 08","Manufacturing (C)","Number","4453"
"Number of Employments","2024 April 08","Wholesale and Retail Trade (G)","Number","6350"
"Number of Employments","2024 April 08","Accommodation & Food Service Activities (I)","Number","12545"
"Number of Employments","2024 April 08","All NACE Economic Sectors","Number","38396"
"Number of Employments","2024 May 13","Financial and insurance activities (K)","Number","280"
"Number of Employments","2024 May 13","Transportation and Storage (H)","Number","644"
"Number of Employments","2024 May 13","Information and communication (J)","Number","554"
"Number of Employments","2024 May 13","Public Administration and Defence (O)","Number","552"
"Number of Employments","2024 May 13","Education (P)","Number","852"
"Number of Employments","2024 May 13","Human Health and Social Work Activities (Q)","Number","1405"
"Number of Employments","2024 May 13","Real estate activities (L)","Number","775"
"Number of Employments","2024 May 13","Professional, Scientific and Technical Activities (M)","Number","1028"
"Number of Employments","2024 May 13","Agriculture, Forestry and Fishing (A)","Number","1033"
"Number of Employments","2024 May 13","Construction (F)","Number","2300"
"Number of Employments","2024 May 13","Administrative and Support Service Activities (N)","Number","3658"
"Number of Employments","2024 May 13","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","2810"
"Number of Employments","2024 May 13","Manufacturing (C)","Number","4688"
"Number of Employments","2024 May 13","Wholesale and Retail Trade (G)","Number","6636"
"Number of Employments","2024 May 13","Accommodation & Food Service Activities (I)","Number","13108"
"Number of Employments","2024 May 13","All NACE Economic Sectors","Number","40323"
"Number of Employments","2024 June 11","Financial and insurance activities (K)","Number","290"
"Number of Employments","2024 June 11","Transportation and Storage (H)","Number","678"
"Number of Employments","2024 June 11","Information and communication (J)","Number","578"
"Number of Employments","2024 June 11","Public Administration and Defence (O)","Number","572"
"Number of Employments","2024 June 11","Education (P)","Number","884"
"Number of Employments","2024 June 11","Human Health and Social Work Activities (Q)","Number","1494"
"Number of Employments","2024 June 11","Real estate activities (L)","Number","808"
"Number of Employments","2024 June 11","Professional, Scientific and Technical Activities (M)","Number","1072"
"Number of Employments","2024 June 11","Agriculture, Forestry and Fishing (A)","Number","1070"
"Number of Employments","2024 June 11","Construction (F)","Number","2400"
"Number of Employments","2024 June 11","Administrative and Support Service Activities (N)","Number","3813"
"Number of Employments","2024 June 11","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","3004"
"Number of Employments","2024 June 11","Manufacturing (C)","Number","4902"
"Number of Employments","2024 June 11","Wholesale and Retail Trade (G)","Number","6934"
"Number of Employments","2024 June 11","Accommodation & Food Service Activities (I)","Number","13671"
"Number of Employments","2024 June 11","All NACE Economic Sectors","Number","42170"
"Number of Employments","2024 July 08","Financial and insurance activities (K)","Number","328"
"Number of Employments","2024 July 08","Transportation and Storage (H)","Number","709"
"Number of Employments","2024 July 08","Information and communication (J)","Number","619"
"Number of Employments","2024 July 08","Public Administration and Defence (O)","Number","584"
"Number of Employments","2024 July 08","Education (P)","Number","928"
"Number of Employments","2024 July 08","Human Health and Social Work Activities (Q)","Number","1602"
"Number of Employments","2024 July 08","Real estate activities (L)","Number","843"
"Number of Employments","2024 July 08","Professional, Scientific and Technical Activities (M)","Number","1120"
"Number of Employments","2024 July 08","Agriculture, Forestry and Fishing (A)","Number","1115"
"Number of Employments","2024 July 08","Construction (F)","Number","2505"
"Number of Employments","2024 July 08","Administrative and Support Service Activities (N)","Number","3986"
"Number of Employments","2024 July 08","Miscellaneous NACE Sectors (B, D, E, R-T)","Number","2932"
"Number of Employments","2024 July 08","Manufacturing (C)","Number","5075"
"Number of Employments","2024 July 08","Wholesale and Retail Trade (G)","Number","7182"
"Number of Employments","2024 July 08","Accommodation & Food Service Activities (I)","Number","14177"
"Number of Employments","2024 July 08","All NACE Economic Sectors","Number","43705"
